# boundary conditions
# 0=> not BC (default, interior) , 1=> fixed, 2=> no flow
# i j k   BCtype  BCval
# ----- Unconfined layer (layer 1) -----
# Top row (j = 1)
1 1 1 1 75.0
2 1 1 1 75.0
3 1 1 1 75.0
4 1 1 1 75.0
5 1 1 1 75.0
6 1 1 1 75.0
7 1 1 1 75.0
8 1 1 1 75.0
9 1 1 1 75.0
10 1 1 1 75.0
11 1 1 1 75.0
12 1 1 1 75.0
13 1 1 1 75.0
14 1 1 1 75.0
15 1 1 1 75.0
# Middle rows (only left and right edges fixed)
1 2 1 2 999.999
1 3 1 2 999.999
1 4 1 2 999.999
1 5 1 2 999.999
1 6 1 2 999.999
1 7 1 2 999.999
1 8 1 2 999.999
1 9 1 2 999.999
15 2 1 2 999.999
15 3 1 2 999.999
15 4 1 2 999.999
15 5 1 2 999.999
15 6 1 2 999.999
15 7 1 2 999.999
15 8 1 2 999.999
15 9 1 2 999.999
# Bottom row (j = NROW)
1 10 1 1 75.0
2 10 1 1 75.0
3 10 1 1 75.0
4 10 1 1 75.0
5 10 1 1 75.0
6 10 1 1 75.0
7 10 1 1 75.0
8 10 1 1 75.0
9 10 1 1 75.0
10 10 1 1 75.0
11 10 1 1 75.0
12 10 1 1 75.0
13 10 1 1 75.0
14 10 1 1 75.0
15 10 1 1 75.0
# ----- Confined layer (layer 2) -----
# Top row (j = 1)
1 1 2 2 999.999
2 1 2 2 999.999
3 1 2 2 999.999
4 1 2 2 999.999
5 1 2 2 999.999
6 1 2 2 999.999
7 1 2 2 999.999
8 1 2 2 999.999
9 1 2 2 999.999
10 1 2 2 999.999
11 1 2 2 999.999
12 1 2 2 999.999
13 1 2 2 999.999
14 1 2 2 999.999
15 1 2 2 999.999
# Middle rows (only left and right edges fixed)
1 2 2 2 999.999
1 3 2 2 999.999
1 4 2 2 999.999
1 5 2 2 999.999
1 6 2 2 999.999
1 7 2 2 999.999
1 8 2 2 999.999
1 9 2 2 999.999
15 2 2 2 999.999
15 3 2 2 999.999
15 4 2 2 999.999
15 5 2 2 999.999
15 6 2 2 999.999
15 7 2 2 999.999
15 8 2 2 999.999
15 9 2 2 999.999
# Bottom row (j = NROW)
1 10 2 2 999.999
2 10 2 2 999.999
3 10 2 2 999.999
4 10 2 2 999.999
5 10 2 2 999.999
6 10 2 2 999.999
7 10 2 2 999.999
8 10 2 2 999.999
9 10 2 2 999.999
10 10 2 2 999.999
11 10 2 2 999.999
12 10 2 2 999.999
13 10 2 2 999.999
14 10 2 2 999.999
15 10 2 2 999.999
